學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
4	國立臺灣師範大學	1111001	教育學系	D 日	D 博士	67	0	16	30 臺北市	1 一般
4	國立臺灣師範大學	1111001	教育學系	D 日	M 碩士	78	0	12	30 臺北市	1 一般
4	國立臺灣師範大學	1111001	教育學系教育行政碩士在職專班	N 職	M 碩士	107	0	45	30 臺北市	1 一般
4	國立臺灣師範大學	1111001	教育學系	D 日	B 學士	267	19	44	30 臺北市	1 一般
4	國立臺灣師範大學	1111088	科學—科技—工程—數學整合教育國際博士學位學程	D 日	D 博士	2	0	0	30 臺北市	1 一般
4	國立臺灣師範大學	1113018	特殊教育學系	D 日	D 博士	31	0	5	30 臺北市	1 一般
4	國立臺灣師範大學	1113018	特殊教育學系	D 日	M 碩士	68	0	19	30 臺北市	1 一般
4	國立臺灣師範大學	1113018	特殊教育學系	N 職	M 碩士	86	0	21	30 臺北市	1 一般
4	國立臺灣師範大學	1113018	特殊教育學系	D 日	B 學士	170	14	35	30 臺北市	1 一般
4	國立臺灣師範大學	1114019	教育政策與行政研究所	D 日	M 碩士	50	5	12	30 臺北市	1 一般
4	國立臺灣師範大學	1115002	課程與教學研究所	D 日	D 博士	34	0	3	30 臺北市	1 一般
4	國立臺灣師範大學	1115002	課程與教學研究所	D 日	M 碩士	48	7	11	30 臺北市	1 一般
4	國立臺灣師範大學	1115006	科學教育研究所	D 日	D 博士	27	0	7	30 臺北市	1 一般
4	國立臺灣師範大學	1115006	科學教育研究所	D 日	M 碩士	59	12	12	30 臺北市	1 一般
4	國立臺灣師範大學	1116014	資訊教育研究所	D 日	D 博士	24	0	2	30 臺北市	1 一般
4	國立臺灣師範大學	1116014	資訊教育研究所	D 日	M 碩士	71	7	12	30 臺北市	1 一般
4	國立臺灣師範大學	1116079	學習科學學士學位學程	D 日	B 學士	71	8	14	30 臺北市	1 一般
4	國立臺灣師範大學	1118010	工業教育學系	D 日	M 碩士	88	0	36	30 臺北市	1 一般
4	國立臺灣師範大學	1121086	學士後學位學程教保員專班	D 日	B 學士	0	0	36	30 臺北市	1 一般
4	國立臺灣師範大學	1131004	公民教育與活動領導學系	D 日	D 博士	49	0	3	30 臺北市	1 一般
4	國立臺灣師範大學	1131004	公民教育與活動領導學系	D 日	M 碩士	74	0	25	30 臺北市	1 一般
4	國立臺灣師範大學	1131004	公民教育與活動領導學系	N 職	M 碩士	84	0	11	30 臺北市	1 一般
4	國立臺灣師範大學	1131004	公民教育與活動領導學系	D 日	B 學士	363	18	87	30 臺北市	1 一般
4	國立臺灣師範大學	1131009	社會教育學系	D 日	D 博士	33	0	5	30 臺北市	1 一般
4	國立臺灣師範大學	1131009	社會教育學系	D 日	M 碩士	79	0	19	30 臺北市	1 一般
4	國立臺灣師範大學	1131009	社會教育學系社會教育與文化行政碩士在職專班	N 職	M 碩士	46	0	10	30 臺北市	1 一般
4	國立臺灣師範大學	1131009	社會教育學系	D 日	B 學士	228	10	49	30 臺北市	1 一般
4	國立臺灣師範大學	1131017	健康促進與衛生教育學系	D 日	M 碩士	67	0	12	30 臺北市	1 一般
4	國立臺灣師範大學	1131017	健康促進與衛生教育學系	D 日	B 學士	179	15	41	30 臺北市	1 一般
